,Security Code,Security Name,Company Name,Ex Date,Purpose,Record Date,BC Start Date, BC End Date	,ND Start Date,ND End Date,Actual Payment Date
15268,500425,AMBUJACEM,Ambuja Cements Ltd,19 May 2020,Interim Dividend - Rs. - 1.5000,20 May 2020,-,-,13 May 2020,19 May 2020,-
15269,500188,HINDZINC,Hindustan Zinc Ltd,19 May 2020,Interim Dividend - Rs. - 16.5000,20 May 2020,-,-,13 May 2020,19 May 2020,-
15270,532466,OFSS,Oracle Financial Services Software Ltd,19 May 2020,Interim Dividend - Rs. - 180.0000,20 May 2020,-,-,13 May 2020,19 May 2020,-
15271,500209,INFY,Infosys Ltd,29 May 2020,Final Dividend - Rs. - 9.5000,01 Jun 2020,-,-,22 May 2020,29 May 2020,-
15272,500830,COLPAL,Colgate Palmolive (India) Ltd,01 Jun 2020,Interim Dividend - Rs. - 16.0000,02 Jun 2020,-,-,26 May 2020,01 Jun 2020,-
15273,532540,TCS,Tata Consultancy Services Ltd,03 Jun 2020,Final Dividend - Rs. - 6.0000,04 Jun 2020,-,-,28 May 2020,03 Jun 2020,-
15274,500089,DICIND,DIC India Ltd,04 Jun 2020,Final Dividend - Rs. - 4.5000,05 Jun 2020,-,-,29 May 2020,04 Jun 2020,-
15275,500089,DICIND,DIC India Ltd,04 Jun 2020,Final Dividend - Rs. - 4.5000,-,06 Jun 2020,12 Jun 2020,-,04 Jun 2020,-
15276,532732,KKCL,Kewal Kiran Clothing Ltd,04 Jun 2020,Interim Dividend - Rs. - 6.0000,05 Jun 2020,-,-,29 May 2020,04 Jun 2020,-
15277,500620,GESHIP,Great Eastern Shipping Company Ltd,09 Jun 2020,Interim Dividend - Rs. - 2.7000,10 Jun 2020,-,-,03 Jun 2020,09 Jun 2020,-
15278,500133,ESABINDIA,Esab India Ltd,11 Jun 2020,Interim Dividend - Rs. - 70.0000,12 Jun 2020,-,-,05 Jun 2020,11 Jun 2020,-
15279,509820,HUHTAMAKI,Huhtamaki India Ltd,11 Jun 2020,Final Dividend - Rs. - 3.0000,-,15 Jun 2020,23 Jun 2020,08 Jun 2020,12 Jun 2020,-
15280,500790,NESTLEIND,Nestle India Ltd,11 Jun 2020,Final Dividend - Rs. - 61.0000,-,13 Jun 2020,19 Jun 2020,08 Jun 2020,11 Jun 2020,-
15281,532553,WELENT,Welspun Enterprises Ltd,11 Jun 2020,Final Dividend - Rs. - 2.0000,-,13 Jun 2020,15 Jun 2020,08 Jun 2020,11 Jun 2020,-
15282,500165,KANSAINER,Kansai Nerolac Paints Ltd,12 Jun 2020,Dividend - Rs. - 3.1500,-,16 Jun 2020,22 Jun 2020,09 Jun 2020,15 Jun 2020,-
15283,532406,AVANTEL,Avantel Ltd,17 Jun 2020,Final Dividend - Rs. - 2.0000,18 Jun 2020,-,-,11 Jun 2020,17 Jun 2020,-
15284,500355,RALLIS,Rallis India Ltd,17 Jun 2020,Final Dividend - Rs. - 2.5000,-,19 Jun 2020,26 Jun 2020,12 Jun 2020,18 Jun 2020,-
15285,500800,TATACONSUM,Tata Consumer Products Ltd,18 Jun 2020,Final Dividend - Rs. - 2.7000,-,22 Jun 2020,29 Jun 2020,15 Jun 2020,19 Jun 2020,-
15286,500696,HINDUNILVR,Hindustan Unilever Ltd,19 Jun 2020,Final Dividend - Rs. - 14.0000,-,23 Jun 2020,30 Jun 2020,16 Jun 2020,22 Jun 2020,-
15287,505790,SCHAEFFLER,Schaeffler India Ltd,19 Jun 2020,Final Dividend - Rs. - 35.0000,-,23 Jun 2020,30 Jun 2020,16 Jun 2020,22 Jun 2020,-
15288,502180,SHREDIGCEM,Shree Digvijay Cement Company Ltd,22 Jun 2020,Dividend - Rs. - 1.5000,23 Jun 2020,-,-,16 Jun 2020,22 Jun 2020,-
15289,500770,TATACHEM,Tata Chemicals Ltd,22 Jun 2020,Final Dividend - Rs. - 11.0000,-,24 Jun 2020,30 Jun 2020,17 Jun 2020,23 Jun 2020,-
15290,506285,BAYERCROP,Bayer CropScience Ltd,23 Jun 2020,Interim Dividend - Rs. - 90.0000,24 Jun 2020,-,-,17 Jun 2020,23 Jun 2020,-
15291,500870,CASTROLIND,Castrol India Ltd,26 Jun 2020,Interim Dividend - Rs. - 3.0000,29 Jun 2020,-,-,22 Jun 2020,26 Jun 2020,-
15292,524816,NATCOPHARM,Natco Pharma Ltd,26 Jun 2020,Interim Dividend - Rs. - 1.0000,29 Jun 2020,-,-,22 Jun 2020,26 Jun 2020,-
15293,540767,NAM-INDIA,Nippon Life India Asset Management Ltd,29 Jun 2020,Final Dividend - Rs. - 2.0000,30 Jun 2020,-,-,23 Jun 2020,29 Jun 2020,-
